[2021-05-30 15:00:02,715] INFO [GroupMetadataManager brokerId=0] Group connect-cluster transitioned to Dead in generation 2 (kafka.coordinator.group.GroupMetadataManager)
[2021-05-30 15:21:01,302] INFO Terminating process due to signal SIGHUP (org.apache.kafka.common.utils.LoggingSignalHandler)
[2021-05-30 15:21:01,313] INFO [KafkaServer id=0] shutting down (kafka.server.KafkaServer)
[2021-05-30 15:21:01,319] INFO [KafkaServer id=0] Starting controlled shutdown (kafka.server.KafkaServer)
[2021-05-30 15:21:01,377] INFO [KafkaServer id=0] Controlled shutdown succeeded (kafka.server.KafkaServer)
[2021-05-30 15:21:01,389] INFO [/config/changes-event-process-thread]: Shutting down (kafka.common.ZkNodeChangeNotificationListener$ChangeEventProcessThread)
[2021-05-30 15:21:01,390] INFO [/config/changes-event-process-thread]: Shutdown completed (kafka.common.ZkNodeChangeNotificationListener$ChangeEventProcessThread)
[2021-05-30 15:21:01,390] INFO [/config/changes-event-process-thread]: Stopped (kafka.common.ZkNodeChangeNotificationListener$ChangeEventProcessThread)
[2021-05-30 15:21:01,392] INFO [SocketServer listenerType=ZK_BROKER, nodeId=0] Stopping socket server request processors (kafka.network.SocketServer)
[2021-05-30 15:21:01,406] INFO [SocketServer listenerType=ZK_BROKER, nodeId=0] Stopped socket server request processors (kafka.network.SocketServer)
[2021-05-30 15:21:01,408] INFO [data-plane Kafka Request Handler on Broker 0], shutting down (kafka.server.KafkaRequestHandlerPool)
[2021-05-30 15:21:01,419] INFO [data-plane Kafka Request Handler on Broker 0], shut down completely (kafka.server.KafkaRequestHandlerPool)
[2021-05-30 15:21:01,425] INFO [ExpirationReaper-0-AlterAcls]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2021-05-30 15:21:01,622] INFO [ExpirationReaper-0-AlterAcls]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2021-05-30 15:21:01,622] INFO [ExpirationReaper-0-AlterAcls]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2021-05-30 15:21:01,623] INFO [KafkaApi-0] Shutdown complete. (kafka.server.KafkaApis)
[2021-05-30 15:21:01,624] INFO [ExpirationReaper-0-topic]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2021-05-30 15:21:01,824] INFO [ExpirationReaper-0-topic]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2021-05-30 15:21:01,824] INFO [ExpirationReaper-0-topic]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2021-05-30 15:21:01,827] INFO [TransactionCoordinator id=0] Shutting down. (kafka.coordinator.transaction.TransactionCoordinator)
